sale_date,daily_sales_predicted,lower_ci,upper_ci
2025-03-05,86358.73854522858,28625.54830469207,144091.92878576508
2025-03-06,169313.94567472063,102176.5653071207,236451.32604232055
2025-03-07,109899.37148199989,41920.45655163455,177878.2864123652
2025-03-08,134345.8228831936,66366.90795282954,202324.73781355767
2025-03-09,165091.61534430596,97112.69993324751,233070.5307553644
2025-03-10,115119.75121862834,47140.83580757439,183098.6666296823
2025-03-11,133787.14912914016,65808.2360350831,201766.06222319722
2025-03-12,121294.62889154558,53101.59911807311,189487.65866501804
2025-03-13,127613.43207949249,59345.12589704417,195881.7382619408
2025-03-14,105985.60789683068,37710.01734535277,174261.1984483086
2025-03-15,124162.60602995158,55887.015478475325,192438.19658142782
2025-03-16,178560.31798860276,110284.72714429002,246835.9088329155
2025-03-17,133336.4151332727,65060.82428896456,201612.00597758085
2025-03-18,171220.90362104378,102945.31458748033,239496.49265460722
